symbol,in_export,in_reconciled_479,in_k0_included_460,in_campaign_187,comparison_status
PF_OGNUSD,True,True,True,True,campaign_exact_mapped
PF_OGUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_OLUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_OMGUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_OMIUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_OMNIUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_OMUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_ONDOUSD,True,True,True,True,campaign_exact_mapped
PF_ONEUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_ONGUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_ONTUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_OPENAIXUSD,False,True,False,False,reconciled_missing_export_noncampaign
PF_OPENUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_OPNUSD,False,True,False,False,reconciled_missing_export_noncampaign
PF_OPUSD,True,True,True,True,campaign_exact_mapped
PF_ORCAUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_ORDERUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_ORDIUSD,True,True,True,True,campaign_exact_mapped
